# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531300
# River:                 PRU
# Station:               PRANG
# Country:               GH
# Latitude (DD):       7.9833
# Longitude (DD):      -0.8833
# Catchment area (km²):      6355.0
# Altitude (m ASL):        41.43
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1957 - 2007
# No. of years:          51
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 598
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-05-01;--:--;      3.000;   -999.000;   0
1959-06-01;--:--;      3.000;   -999.000;   0
1959-07-01;--:--;     17.000;   -999.000;   0
1959-08-01;--:--;     18.000;   -999.000;   0
1959-09-01;--:--;     15.000;   -999.000;   0
1959-10-01;--:--;     57.000;   -999.000;   0
1959-11-01;--:--;     13.000;   -999.000;   0
1959-12-01;--:--;      2.000;   -999.000;   0
1960-01-01;--:--;      0.000;   -999.000;   0
1960-02-01;--:--;      0.000;   -999.000;   0
1960-03-01;--:--;      0.000;   -999.000;   0
1960-04-01;--:--;      0.000;   -999.000;   0
1960-05-01;--:--;      2.000;   -999.000;   0
1960-06-01;--:--;      4.000;   -999.000;   0
1960-07-01;--:--;     10.000;   -999.000;   0
1960-08-01;--:--;     59.000;   -999.000;   0
1960-09-01;--:--;     21.000;   -999.000;   0
1960-10-01;--:--;     66.000;   -999.000;   0
1960-11-01;--:--;      9.000;   -999.000;   0
1960-12-01;--:--;      1.000;   -999.000;   0
1961-01-01;--:--;      0.000;   -999.000;   0
1961-02-01;--:--;      0.000;   -999.000;   0
1961-03-01;--:--;      0.000;   -999.000;   0
1961-04-01;--:--;      1.000;   -999.000;   0
1961-05-01;--:--;      3.000;   -999.000;   0
1961-06-01;--:--;     11.000;   -999.000;   0
1961-07-01;--:--;     62.000;   -999.000;   0
1961-08-01;--:--;     12.000;   -999.000;   0
1961-09-01;--:--;     19.000;   -999.000;   0
1961-10-01;--:--;     59.000;   -999.000;   0
1961-11-01;--:--;      4.000;   -999.000;   0
1961-12-01;--:--;      0.000;   -999.000;   0
1962-01-01;--:--;      0.000;   -999.000;   0
1962-02-01;--:--;      0.000;   -999.000;   0
1962-03-01;--:--;      0.000;   -999.000;   0
1962-04-01;--:--;      0.000;   -999.000;   0
1962-05-01;--:--;      4.000;   -999.000;   0
1962-06-01;--:--;      7.000;   -999.000;   0
1962-07-01;--:--;     47.000;   -999.000;   0
